domain,company_name,title,industry,location,estimated_revenue,employee_count,icp_score,verification_status,contact_email,phone,linkedin_url,ai_summary
freightpulse.io,FreightPulse Technologies,FreightPulse | Next-Gen Dispatch & Fleet Telematics Platform,Logistics & Supply Chain,"Dallas, TX, United States",$4.2M ARR,28 employees,94,verified,partnerships@freightpulse.io,+1 (214) 555-0192,https://linkedin.com/company/freightpulse,FreightPulse is a Logistics SaaS platform generating ~$4.2M ARR with high gross margins. Strong fit for Caprae Capital 7-year M&A post-acquisition AI optimization.
hvaccommander.com,HVAC Commander,HVAC Commander | Field Service & Dispatch Software for Contractors,Field Services & Industrial,"Columbus, OH, United States",$2.8M ARR,18 employees,91,verified,sales@hvaccommander.com,+1 (614) 555-0814,https://linkedin.com/company/hvac-commander,HVAC Commander dominates regional commercial HVAC dispatch with steady recurring subscription cashflow. Ripe for AI predictive maintenance add-ons.
mediroute.tech,MediRoute Health,MediRoute | Non-Emergency Medical Transportation Dispatch ERP,HealthTech,"Atlanta, GA, United States",$3.6M ARR,24 employees,89,verified,info@mediroute.tech,+1 (404) 555-0371,https://linkedin.com/company/mediroute-tech,MediRoute delivers specialized compliance and dispatching for Medicaid transport. High regulatory moat with stable enterprise contracts.
cleanforceops.com,CleanForce Operations,CleanForce | Commercial Janitorial & Facility Management SaaS,Field Services & Industrial,"Charlotte, NC, United States",$1.9M ARR,14 employees,86,verified,contact@cleanforceops.com,+1 (704) 555-0143,https://linkedin.com/company/cleanforce-ops,CleanForce Operations serves commercial janitorial firms with steady MRR. Substantial upside through modern UI re-architecture and enterprise packaging.
complianceiq.co,ComplianceIQ,ComplianceIQ | Automated SOC2 & HIPAA Readiness for Startups,GovTech & Compliance,"Denver, CO, United States",$5.1M ARR,32 employees,92,verified,security@complianceiq.co,+1 (303) 555-0988,https://linkedin.com/company/compliance-iq,High-growth cybersecurity and compliance SaaS with exceptional renewal rates. High synergy for cross-selling across PE portfolio companies.
buildflowhq.com,BuildFlow HQ,BuildFlow | Commercial Subcontractor Bid Management Platform,B2B SaaS,"Austin, TX, United States",$3.1M ARR,21 employees,88,verified,hello@buildflowhq.com,+1 (512) 555-0266,https://linkedin.com/company/buildflow-hq,Construction takeoff software with deep contractor penetration. Strong candidate for introducing automated blueprint PDF parsing via AI.
propertysync.io,PropertySync,PropertySync | HOA & Multifamily Community Operations Portal,B2B SaaS,"Phoenix, AZ, United States",$2.4M ARR,16 employees,85,verified,team@propertysync.io,+1 (602) 555-0639,https://linkedin.com/company/propertysync,PropertySync offers deeply embedded HOA workflow management with near-zero annual customer churn across property managers.
claimsight.net,ClaimSight Systems,ClaimSight | Property & Casualty Claims Intake Automation,FinTech & InsurTech,"Chicago, IL, United States",$6.2M ARR,38 employees,95,verified,exec@claimsight.net,+1 (312) 555-0722,https://linkedin.com/company/claimsight,Enterprise claims ingestion platform serving regional insurers. Outstanding contract durability and high annual contract values ($80k+ ACV).
aquaflowcrm.com,AquaFlow CRM,AquaFlow | Water Treatment & Filtration Route Management,Field Services & Industrial,"Tampa, FL, United States",$1.5M ARR,11 employees,83,verified,support@aquaflowcrm.com,+1 (813) 555-0455,https://linkedin.com/company/aquaflow-crm,Hyper-niche route management CRM for water treatment dealers with high customer loyalty. Prime candidate for modernized web app re-architecture.
staffbeacon.com,StaffBeacon Technologies,StaffBeacon | Light Industrial & Shift Staffing Platform,B2B SaaS,"Indianapolis, IN, United States",$4.7M ARR,29 employees,90,verified,partners@staffbeacon.com,+1 (317) 555-0931,https://linkedin.com/company/staffbeacon,High-velocity staffing technology with embedded fintech payroll solutions. Strong market position across Midwest industrial hubs.
